Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
15:29:16,0,-0.0,153.0
15:29:16,0,0.0,153.0
15:29:17,0,-0.0,153.0
15:29:18,0,-0.0,153.0
15:29:19,0,-0.0,153.0
15:29:20,0,-0.0,153.0
15:29:20,0,-0.0,153.0
15:29:21,0,-0.0,153.0
15:29:22,0,-0.0,153.0
15:29:23,0,-0.0,153.0
15:29:24,0,-0.0,153.0
15:29:25,0,-0.0,153.0
15:29:25,0,-0.0,153.0
15:29:26,0,-0.0,153.0
15:29:27,0,-0.0,153.0
15:29:28,0,-0.0,153.0
15:29:29,0,-0.0,153.0
15:29:29,0,-0.0,153.0
15:29:30,0,-0.0,153.0
15:29:31,0,-0.0,153.0
15:29:32,0,0.0,153.0
15:29:33,0,0.0,153.0
15:29:34,0,-0.0,153.0
15:29:34,-0.5,-0.0,153.0
15:29:35,-1.9,-0.0,153.0
15:29:36,-3.2,-0.0,153.0
15:29:37,-4.6,-0.0,153.0
15:29:38,-10.5,0.0,153.0
15:29:38,-19.3,0.0,153.0
15:29:39,-30.0,-0.0,153.0
15:29:40,-43.1,-0.0,153.0
15:29:41,-57.3,-0.0,153.0
15:29:42,-75.7,-0.0,153.0
15:29:43,-96.0,-0.0,153.0
15:29:43,-115.0,-0.0,153.0
15:29:44,-141.0,-0.0,153.0
15:29:45,-167.3,-0.0,153.0
15:29:46,-195.0,0.0,153.0
15:29:47,-220.7,-0.0,153.0
15:29:47,-248.0,-0.0,153.0
15:29:48,-282.8,-0.0,153.0
15:29:49,-310.9,-0.0,153.0
15:29:50,-349.3,-0.0,153.0
15:29:51,-391.0,0.4,153.0
15:29:52,-393.0,-0.0,153.0
15:29:52,-395.2,0.0,153.0
15:29:53,-393.6,-0.0,153.0
15:29:54,-396.8,-0.0,153.0
